chunk_id,article_filename,word_count,backend,model,claim,grounds,warrant,bucket,parse_error,raw_response_excerpt
0,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,971,openai,gpt-4o,The causal mechanisms by which higher education expansion affects marriage rates in different cultural contexts remain unclear.,the extent to which this reflects a causal effect of education is far from being well established due to possible issues with aggregation,"The text highlights challenges in establishing causality between education and marriage rates, suggesting that the specific pathways and cultural factors influencing this relationship are not fully understood.",more_probable,,"{""claim"":""The causal mechanisms by which higher education expansion affects marriage rates in different cultural contexts remain unclear."",""grounds"":""the extent to which this reflects a causal effect of education is far from being well established due to possible issues with aggregation"",""warrant"":""The text highlights challenges in establishing causality between education and marriage rates, suggesting that the specific pathways and cultural factors influencing this relationship are not fully understood."",""bucket"":""more_probable""}"
1,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,976,openai,gpt-4o,The impact of higher education expansion on marriage rates among rural origin female graduates remains unclear.,this finding might not generalise to rural origin female graduates who were exposed to stronger gendered social norms,"The text suggests that while urban origin females benefit from higher education in terms of marriage rates, the same may not apply to rural origin females due to differing social norms, indicating a gap in understanding their specific outcomes.",more_probable,,"{""claim"":""The impact of higher education expansion on marriage rates among rural origin female graduates remains unclear."",""grounds"":""this finding might not generalise to rural origin female graduates who were exposed to stronger gendered social norms"",""warrant"":""The text suggests that while urban origin females benefit from higher education in terms of marriage rates, the same may not apply to rural origin females due to differing social norms, indicating a gap in understanding their specific outcomes."",""bucket"":""more_probable""}"
2,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,989,openai,gpt-4o,The impact of the hukou system on educational assortative mating in China is not well understood.,The hukou (household registration) system...is the key institutional feature underpinning China’s urban-rural divide. Section 4.1 is devoted to a detailed explanation of background of the education reforms in the context of the hukou system.,"While the text discusses educational assortative mating trends in China, it does not explicitly connect these trends to the hukou system, suggesting a gap in understanding how this system influences marriage patterns.",more_probable,,"{""claim"":""The impact of the hukou system on educational assortative mating in China is not well understood."",""grounds"":""The hukou (household registration) system...is the key institutional feature underpinning China’s urban-rural divide. Section 4.1 is devoted to a detailed explanation of background of the education reforms in the context of the hukou system."",""warrant"":""While the text discusses educational assortative mating trends in China, it does not explicitly connect these trends to the hukou system, suggesting a gap in understanding how this system influences marriage patterns."",""bucket"":""more_probable""}"
3,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,978,openai,gpt-4o,The causal mechanisms linking higher education to marital outcomes in China remain unclear.,we provide direct causal evidence of the effect of HE induced by a college expansion on marital choices,"While the study claims to provide causal evidence, it does not specify the mechanisms through which higher education influences marital outcomes, leaving a gap in understanding the underlying processes.",more_probable,,"{""claim"":""The causal mechanisms linking higher education to marital outcomes in China remain unclear."",""grounds"":""we provide direct causal evidence of the effect of HE induced by a college expansion on marital choices"",""warrant"":""While the study claims to provide causal evidence, it does not specify the mechanisms through which higher education influences marital outcomes, leaving a gap in understanding the underlying processes."",""bucket"":""more_probable""}"
4,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,998,openai,gpt-4o,The long-term effects of the HE expansion on educational assortative mating patterns beyond the observed cohorts are unknown.,the massive HE expansion started in 1999...the pace of transition is very slow,The text discusses changes in educational assortative mating patterns due to HE expansion but does not address whether these trends will continue or stabilize in future cohorts.,more_probable,,"{""claim"":""The long-term effects of the HE expansion on educational assortative mating patterns beyond the observed cohorts are unknown."",""grounds"":""the massive HE expansion started in 1999...the pace of transition is very slow"",""warrant"":""The text discusses changes in educational assortative mating patterns due to HE expansion but does not address whether these trends will continue or stabilize in future cohorts."",""bucket"":""more_probable""}"
5,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,918,openai,gpt-4o,The long-term effects of the 1999 HE expansion on rural-urban educational inequality remain unclear.,"The HE expansion came as a totally unanticipated policy shock...urban hukou holders, especially those living in the major cities, enjoy much better access to HE in general.","While the text describes the immediate impact of the HE expansion and existing urban-rural disparities, it does not address how these changes have affected long-term educational inequality between rural and urban areas.",more_probable,,"{""claim"":""The long-term effects of the 1999 HE expansion on rural-urban educational inequality remain unclear."",""grounds"":""The HE expansion came as a totally unanticipated policy shock...urban hukou holders, especially those living in the major cities, enjoy much better access to HE in general."",""warrant"":""While the text describes the immediate impact of the HE expansion and existing urban-rural disparities, it does not address how these changes have affected long-term educational inequality between rural and urban areas."",""bucket"":""more_probable""}"
6,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,860,openai,gpt-4o,The differential impact of HE expansion on rural students' educational attainment remains unclear.,"there is only a visible jump for urban students in years of schooling around the HE expansion cut-off, of about 0.5 years. For rural students, there appears to be no discontinuity","The text highlights a clear effect of HE expansion on urban students but notes a lack of similar evidence for rural students, suggesting an unexplored area of impact.",more_probable,,"{""claim"":""The differential impact of HE expansion on rural students' educational attainment remains unclear."",""grounds"":""there is only a visible jump for urban students in years of schooling around the HE expansion cut-off, of about 0.5 years. For rural students, there appears to be no discontinuity"",""warrant"":""The text highlights a clear effect of HE expansion on urban students but notes a lack of similar evidence for rural students, suggesting an unexplored area of impact."",""bucket"":""more_probable""}"
7,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,965,openai,gpt-4o,The specific mechanisms by which education affects marriage market outcomes remain unclear.,"The LPM marginal effects of women ’ s education on both being married and ever married are virtually identical, implying that each year ’ s increase in education reduces the probability of being married or ever married by 1.1 percentage points. However, this is overturned once we account for endogeneity of education using 2SLS.","The text highlights a discrepancy between LPM and 2SLS results, suggesting that while education impacts marriage outcomes, the underlying causal pathways are not fully understood.",more_probable,,"{""claim"":""The specific mechanisms by which education affects marriage market outcomes remain unclear."",""grounds"":""The LPM marginal effects of women ’ s education on both being married and ever married are virtually identical, implying that each year ’ s increase in education reduces the probability of being married or ever married by 1.1 percentage points. However, this is overturned once we account for endogeneity of education using 2SLS."",""warrant"":""The text highlights a discrepancy between LPM and 2SLS results, suggesting that while education impacts marriage outcomes, the underlying causal pathways are not fully understood."",""bucket"":""more_probable""}"
8,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,979,openai,gpt-4o,The causal mechanisms by which education influences marriage outcomes across different geographical regions and residence types remain unclear.,"the heterogeneous effect of education on the probability of being currently married, by geographical region and type of residence area","While the text identifies variation in the effect of education on marriage by region and area type, it does not explain the underlying causal mechanisms driving these differences.",more_probable,,"{""claim"":""The causal mechanisms by which education influences marriage outcomes across different geographical regions and residence types remain unclear."",""grounds"":""the heterogeneous effect of education on the probability of being currently married, by geographical region and type of residence area"",""warrant"":""While the text identifies variation in the effect of education on marriage by region and area type, it does not explain the underlying causal mechanisms driving these differences."",""bucket"":""more_probable""}"
9,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,995,openai,gpt-4o,The impact of the one-child policy on educational outcomes and marriage incidence is not fully disentangled from other cohort effects.,critical birth cohort cut-off for HE expansion might coincides with the implementation of the one-child policy,"The text suggests a potential confounding factor (one-child policy) that overlaps with the cohort used for analysis, indicating that its specific effects are not isolated from other variables like education expansion.",more_probable,,"{""claim"":""The impact of the one-child policy on educational outcomes and marriage incidence is not fully disentangled from other cohort effects."",""grounds"":""critical birth cohort cut-off for HE expansion might coincides with the implementation of the one-child policy"",""warrant"":""The text suggests a potential confounding factor (one-child policy) that overlaps with the cohort used for analysis, indicating that its specific effects are not isolated from other variables like education expansion."",""bucket"":""more_probable""}"
